GivenOrientation GivenName GivenID,rag response
North MonFalcon Portal Facade,"The material used for the North MonFalcon Portal Facade is gray Molasse de Lausanne. The current age of the facade is not explicitly mentioned in the provided context. The facade has experienced various forms of deterioration, including erosion, missing parts, holes, chromatic alteration, black crusts, deposits, ice, molds, plants, and lichens. Restoration efforts have targeted different types of deterioration over time, with treatments such as stone consolidation with Paraloid B72 and lime mortar flashings being used. The restoration focused on addressing structural and superficial alterations, with specific attention to plaque alterations and granular disintegration."
South Unfinished Tower Facade,"The material used for the South Unfinished Tower Facade of Lausanne Cathedral is gray Molasse from Lausanne. The tower was constructed around 1225 and finished before the fire of 1235. The current state of the facade shows various types of deterioration, including erosion, missing parts, black crusts, chromatic alterations, deposits, ice, molds, plants, and lichens. Restoration efforts have targeted the consolidation of pulverulent or weakened stones with Paraloid B72 and lime mortar flashings to prevent water penetration. The treatment focused on stabilizing the facades without significant material loss, with a preference for WACKER OH 100 as a reinforcer for the degraded soft sandstone of the exterior surfaces."
East Nave Flying Buttress,"The material used for the East Nave Flying Buttress is white Arvel limestone. The current age of the East Nave Flying Buttress is not explicitly mentioned in the provided context. The current state of the East Nave Flying Buttress had reached a degree of deterioration that required restoration and conservation work. The restoration efforts included redesigning and reconstructing parts that had been mishandled during previous interventions, such as limestone veneers, cement studs, iron reinforcements, and addition of interior supports. The restoration work targeted the structural stability of the buttress and aimed to address issues like erosion of voussoirs. The restoration and conservation work on the East Nave Flying Buttress were based on an analysis of the pathology and construction details observed. The restoration efforts were part of a larger project involving the closure of the painted portal, renewal of flying buttresses, and restoration of stained glass windows. The restoration work was carried out using a recent technical and functional method, with materials like white Arvel limestone being used for reconstruction. The restoration efforts were integrated into rotating work sites of the cathedral and were designed to address various types of deterioration, including structural deterioration, biological colonization, gaps, cracks in pointing mortar, and patchy deterioration affecting the soft sandstone of the molasse. The conservation of the plaques affected by patchy deterioration was a subject of numerous discussions, with a decision made to attempt to preserve these ancient surfaces by allowing the slabs to continue deteriorating."
West Apse Spire,"The material used for the West Apse Spire is molasse, specifically gray Molasse de Lausanne. The spire was built in the 17th century. The current state of the spire includes various types of deterioration, such as structural alterations like patches and superficial deterioration like patinas, black crusts, and crumbling. Restoration efforts have been ongoing, with treatments including the use of IMPERPLEX, PARALOID B72, and WACKER OH 100 for consolidation. The restoration targeted different types of deterioration over time, with a focus on addressing structural alterations and superficial deterioration."
South Aisle Vault,"The South Aisle Vault of Lausanne Cathedral is built of local gray molasse sandstone. It was constructed around 1225, prior to the fire of 1235. The current state of the South Aisle Vault shows signs of reddening and damage on the north gable and roof, indicating its age and exposure to past fires. The sandstone blocks exhibit signs of deterioration, such as reddening and bursting, likely due to the fire of 1235. Restoration efforts have targeted the preservation of these ancient surfaces by allowing the slabs to continue deteriorating in some cases. Various materials have been used for consolidation treatments, including ethyl-silicates, to restore stone strength. The conservation and restoration work on the cathedral has been ongoing over the years, with different interventions addressing specific types of deterioration, such as structural alterations and superficial alterations, to ensure the long-term preservation of the South Aisle Vault."
South Ambulatory Portal,"The material used for the South Ambulatory Portal is gray Molasse de Lausanne. The portal was built around the year 1000. Currently, the portal shows signs of deterioration, including patchy deterioration, granular disintegration, and crusting. Restoration efforts have been ongoing, with various interventions targeting different types of deterioration over time. Efforts have included restoration work on the north chevet tower, conservation of interior polychromies, consolidation of ambulatory frames, restoration of lantern tower superstructures, south transept crossing, and rose window stained glass. Different materials and techniques have been used for these interventions, such as consolidation of powdery sculpted facings and flaking facade bases."
South Transept Rose Window,"The material used for the South Transept Rose Window is hard sandstone from Obernkirchen, Germany. The current age of the window is not specified in the provided context. The window has undergone deterioration, including patchy deterioration, granular disintegration, and crusting, which are common forms of deterioration affecting the gray molasse of Lausanne. Restoration efforts have targeted these deteriorations, with preservation techniques such as cleaning of dust and friable surface materials, consolidation of powdery sculpted facings, and treatment of granular disintegration and exfoliation. The restoration work on the South Transept Rose Window included the conservation of the stained glass medallions, lining them with protective external glass panes, and using metal fittings for insertion. The restoration also aimed to maintain the current iconography of the rose window, particularly focusing on the theme of the Creation of the World. The restoration efforts were carried out in the early 20th century by Edouard Hosch."
South Aisle Facade,"The South Aisle Facade of Lausanne Cathedral is constructed using gray molasse, a soft sandstone from the Swiss Plateau. The majority of the masonry inside the cathedral dates back to the 13th century. The exterior facades, including the South Aisle Facade, have undergone restoration efforts over the years. The restoration campaigns have focused on preserving the ancient surfaces affected by various types of deterioration, such as structural alterations like plaque alterations and superficial alterations like granular disintegration and crust formations. The conservation efforts have targeted specific types of disorders, including biological colonization, gaps, cracks in pointing mortar, and patchy deterioration. Various treatment methods have been employed, including cleaning of dust and friable surface materials, removal of stains and crusts using aluminum oxide or calcite powders, and treatment of biological colonization with hydrogen peroxide and biocides. The conservation approach has aimed to preserve the ancient surfaces by allowing certain deteriorations, like slab weathering, to continue while ensuring the safety of the building and passers-by. Different materials have been used for restoration, such as B72 resin and animal glue in the past, with considerations for the limitations of slab conservation due to structural deterioration."
North Aisle Facade,"The North Aisle Facade of Lausanne Cathedral is constructed using gray Molasse de Lausanne. Most of the facade dates back to the restoration work by Viollet-le-Duc and Assinare in the late 19th century. The current state of the facade includes various types of deterioration such as granular disintegration, exfoliation, and crust formation. Restoration efforts have targeted different types of deterioration over time. In recent interventions, the focus has been on preserving ancient surfaces by allowing slabs to deteriorate naturally, with limitations based on structural safety considerations. Various treatment products have been used, including cleaning of surfaces, removal of biological colonization, and consolidation of weakened stones with products like Paraloid B72. The conservation approach has evolved to address both structural and superficial alterations, with a focus on preserving the historical integrity of the facade while ensuring safety and stability."
North Transept Facade,"The material used for the North Transept Facade of Lausanne Cathedral is gray Molasse de Lausanne. The current age of the facade is not explicitly mentioned in the provided context. The facade has experienced various forms of deterioration, including deterioration in patches, granular disintegration, and crusting. Restoration efforts on the North Transept Facade have included the consolidation of pulverulent or weakened stones with Paraloid B72 and lime mortar flashings to support and prevent water penetration behind thick slabs. The restoration work on the North Transept Facade targeted specific types of deterioration, such as structural alterations and superficial alterations, over different time periods, with the most recent work focusing on the complete renovation of the roofs of the north and south towers of the transept, the roof of the north transept crossing, and the completion of the nave with the covering of the large bay."
